scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp1,2017,electicity generation by technology,Russia,,,Power,Solar,,million toe,0.0059617305844901795
tfp1,2017,electicity cost by technology,Russia,,,Power,Solar,,1000 USD/toe,2.869447549844032
tfp1,2017,electicity generation by technology,Russia,,,Power,Biomass,,million toe,0.008855809546473676
tfp1,2017,electicity cost by technology,Russia,,,Power,Biomass,,1000 USD/toe,2.3103358737212933
tfp1,2017,electicity cost of TnD,North Africa,,,Power,TnD,,1000 USD/toe,0.3065309608305167
tfp1,2017,electicity generation by technology,North Africa,,,Power,Coal_Power,,million toe,1.331045441732916
tfp1,2017,electicity cost by technology,North Africa,,,Power,Coal_Power,,1000 USD/toe,1.0274139403149756
tfp1,2017,electicity generation by technology,North Africa,,,Power,Oil_Power,,million toe,4.558044950320392
tfp1,2017,electicity cost by technology,North Africa,,,Power,Oil_Power,,1000 USD/toe,0.8394493462464404
tfp1,2017,electicity generation by technology,North Africa,,,Power,Gas_Power,,million toe,27.60808017124326
tfp1,2017,electicity cost by technology,North Africa,,,Power,Gas_Power,,1000 USD/toe,0.8936007888728152
tfp1,2017,electicity generation by technology,North Africa,,,Power,Nuclear,,million toe,3.840747337150121e-6
tfp1,2017,electicity cost by technology,North Africa,,,Power,Nuclear,,1000 USD/toe,0.00015321227555005232
tfp1,2017,electicity generation by technology,North Africa,,,Power,Hydro,,million toe,0.19112369926456949
tfp1,2017,electicity cost by technology,North Africa,,,Power,Hydro,,1000 USD/toe,2.4594027832361824
tfp1,2017,electicity generation by technology,North Africa,,,Power,Wind,,million toe,0.10659720055792055
tfp1,2017,electicity cost by technology,North Africa,,,Power,Wind,,1000 USD/toe,2.052635642487683
tfp1,2017,electicity generation by technology,North Africa,,,Power,Solar,,million toe,0.005702344319668272
tfp1,2017,electicity cost by technology,North Africa,,,Power,Solar,,1000 USD/toe,4.914064354479246
tfp1,2017,electicity generation by technology,North Africa,,,Power,Biomass,,million toe,0.00035889126505907144
tfp1,2017,electicity cost by technology,North Africa,,,Power,Biomass,,1000 USD/toe,2.9871146131120763
tfp1,2017,electicity cost of TnD,Sub Saharan,,,Power,TnD,,1000 USD/toe,0.3143798324164897
tfp1,2017,electicity generation by technology,Sub Saharan,,,Power,Coal_Power,,million toe,3.81478554627801
tfp1,2017,electicity cost by technology,Sub Saharan,,,Power,Coal_Power,,1000 USD/toe,0.4944410725051468
