group,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
CHINA,2045,S2_CAPACITY,real_investment,9524.633698956011,9362.43197662985,-162.20172232616096,-1.7029707120804003
CHINA,2050,S1_NO_CN,real_investment,9658.676864496781,9653.716826326694,-4.9600381700875005,-0.05135318470296417
CHINA,2050,S2_CAPACITY,real_investment,9658.676864496781,9494.335820450848,-164.3410440459338,-1.7014860974386268
GLOBAL,2025,S1_NO_CN,government_income,38999.74182595158,38992.91012185246,-6.831704099124181,-0.01751730595964654
GLOBAL,2025,S2_CAPACITY,government_income,38999.74182595158,39814.49845143161,814.7566254800258,2.089133382257066
GLOBAL,2030,S1_NO_CN,government_income,46758.83633182772,46761.709628030425,2.873296202706115,0.006144926666513993
GLOBAL,2030,S2_CAPACITY,government_income,46758.83633182772,47416.79893717083,657.962605343113,1.407140675344934
GLOBAL,2035,S1_NO_CN,government_income,55326.26749205157,55334.29886916044,8.031377108869492,0.014516390627694734
GLOBAL,2035,S2_CAPACITY,government_income,55326.26749205157,55857.07265180017,530.8051597485974,0.9594089458951036
GLOBAL,2040,S1_NO_CN,government_income,64685.39160603701,64692.82232352266,7.4307174856512574,0.01148747391205058
GLOBAL,2040,S2_CAPACITY,government_income,64685.39160603701,65007.93260680917,322.54100077215844,0.49863035959738405
GLOBAL,2045,S1_NO_CN,government_income,75074.95786204736,75084.43752061146,9.479658564101555,0.012626924921517414
GLOBAL,2045,S2_CAPACITY,government_income,75074.95786204736,75142.20729739485,67.24943534749036,0.08957638773645847
GLOBAL,2050,S1_NO_CN,government_income,85821.53318137822,85840.60042212307,19.06724074484373,0.02221731544290447
GLOBAL,2050,S2_CAPACITY,government_income,85821.53318137822,85662.0641797198,-159.4690016584209,-0.18581467348222916
ROW_EX_CHINA,2025,S1_NO_CN,government_income,33921.24249160817,33915.01401402389,-6.228477584285429,-0.018361584443218143
ROW_EX_CHINA,2025,S2_CAPACITY,government_income,33921.24249160817,34400.625967672364,479.3834760641912,1.413224990749636
ROW_EX_CHINA,2030,S1_NO_CN,government_income,40762.71242382992,40766.6084353363,3.8960115063746343,0.009557782774281287
ROW_EX_CHINA,2030,S2_CAPACITY,government_income,40762.71242382992,41069.826780058844,307.1143562289217,0.7534198240678958
ROW_EX_CHINA,2035,S1_NO_CN,government_income,48437.97477850576,48447.2298701043,9.255091598533909,0.019107098595379
ROW_EX_CHINA,2035,S2_CAPACITY,government_income,48437.97477850576,48663.27110571066,225.29632720489462,0.46512334224359303
ROW_EX_CHINA,2040,S1_NO_CN,government_income,57230.844206697344,57239.13076676405,8.286560066706443,0.014479185448983333
ROW_EX_CHINA,2040,S2_CAPACITY,government_income,57230.844206697344,57241.8662725963,11.022065898956498,0.019258960883310996
ROW_EX_CHINA,2045,S1_NO_CN,government_income,67188.3803706582,67198.1384466361,9.758075977908447,0.01452345766347702
ROW_EX_CHINA,2045,S2_CAPACITY,government_income,67188.3803706582,66958.13277773398,-230.24759292422095,-0.34268960146682187
ROW_EX_CHINA,2050,S1_NO_CN,government_income,77624.09036215412,77642.68924565105,18.598883496932103,0.023960195102009273
ROW_EX_CHINA,2050,S2_CAPACITY,government_income,77624.09036215412,77201.2036425958,-422.88671955831524,-0.5447879873185542
CHINA,2025,S1_NO_CN,government_income,5078.49933434341,5077.896107828576,-0.6032265148342049,-0.011878046547232539
CHINA,2025,S2_CAPACITY,government_income,5078.49933434341,5413.872483759241,335.373149415831,6.603784451597074
CHINA,2030,S1_NO_CN,government_income,5996.123907997796,5995.101192694134,-1.022715303662153,-0.017056273675365965
CHINA,2030,S2_CAPACITY,government_income,5996.123907997796,6346.972157111984,350.84824911418855,5.851250816318479
CHINA,2035,S1_NO_CN,government_income,6888.292713545807,6887.068999056143,-1.2237144896635073,-0.017765134853475032
CHINA,2035,S2_CAPACITY,government_income,6888.292713545807,7193.801546089511,305.50883254370456,4.435189462011717
CHINA,2040,S1_NO_CN,government_income,7454.54739933967,7453.691556758613,-0.8558425810570043,-0.01148081211654534
CHINA,2040,S2_CAPACITY,government_income,7454.54739933967,7766.066334212874,311.51893487320376,4.17891145075821
CHINA,2045,S1_NO_CN,government_income,7886.577491389161,7886.299073975351,-0.2784174138096205,-0.003530269170798186
