technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution
wind,GBR,2017,0.03235119188706516,2516.6323084024853,1186.0247128476276,1073.9368670007739,1330.6075955548577,2259.9615798484015,495.6822,0.710261574855825,-0.1000586056861678,0.0,excluded_for_wind,False,3.152135384886567,0.9850511517170862,0.0,93.27389732190258,0.0,97.41108385850623,2357.3726637069076
wind,GBR,2018,0.03235119188706516,2198.396210530895,1130.4972461210928,1064.8846816000303,1067.8989644098024,2195.3819277211232,539.4404499999999,0.6995445558448573,-0.1000586056861678,0.0,excluded_for_wind,False,3.5113834154399712,1.415658528575192,0.0,93.329421784865,0.0,98.25646372888016,2293.6383914500034
wind,GBR,2019,0.03235119188706516,2258.591645264536,1113.707343671958,1054.624367538633,1144.8843015925781,2168.3317112105906,594.24654,0.6876345464291639,-0.1000586056861678,0.0,excluded_for_wind,False,1.5677474733457373,-3.1233658903563053,0.0,98.32255898043506,0.0,96.7669405634245,2265.0986517740153
wind,GBR,2020,0.03235119188706516,2047.40763272174,1021.4921087714956,1037.729024768961,1025.9155239502443,2059.2211335404563,698.33524,0.6349287915070704,-0.1000586056861678,0.0,excluded_for_wind,False,12.559147407014068,17.94017277093082,0.0,118.43026786805756,0.0,148.92958804600244,2208.1507215864585
wind,GBR,2021,0.03235119188706516,2203.410301410913,974.7938065656937,1027.7316236555216,1228.6164948452192,2002.5254302212152,769.27527,0.6301816773597831,-0.1000586056861678,0.0,excluded_for_wind,False,7.243775869026705,7.296594809002895,0.09185028024677926,119.32231589815845,0.0,133.95453685643483,2136.47996707765
wind,GBR,2022,0.03235119188706516,1573.6200074383676,804.8961903110105,1018.7527895143674,768.723817127357,1823.6489798253779,839.7858299999999,0.622067819362944,-0.1000586056861678,0.0,excluded_for_wind,False,69.03821057022334,118.9070086093849,0.7666630510727758,101.43135342340011,0.0,290.14323565408114,2113.792215479459
wind,GBR,2023,0.03235119188706516,1303.0584580732284,745.0725657083644,1006.9911268489617,557.985892364864,1752.0636925573262,943.12808,0.5902443176116652,-0.1000586056861678,0.0,excluded_for_wind,False,48.48196970805711,69.92416619111825,0.5047880643111882,82.90768074427328,0.0,201.81860470775982,1953.882297265086
wind,GBR,2024,0.03235119188706516,1925.620884875948,796.6747553890772,996.3099561546004,1128.9461294868706,1792.9847115436776,1049.19276,0.5598405673329274,-0.1000586056861678,0.0,excluded_for_wind,False,5.178172520574777,2.3292730908035018,0.05831560984552967,127.67697158423944,0.0,135.24273280546325,1928.2274443491408
wind,IND,2010,0.13651637298561964,1607.2867942080602,1699.1182848786855,374.5547148992497,-91.83149067062527,2073.6729997779353,177.71164000000002,0.9331638040141884,0.177335392834262,0.0,excluded_for_wind,True,0.0,0.0,0.0,0.0,0.0,0.0,2073.6729997779353
wind,IND,2011,0.13651637298561964,1439.2246792330563,1572.987977357781,387.819821161163,-133.76329812472454,1960.8077985189439,216.24613,0.8685660178057291,0.177335392834262,0.0,excluded_for_wind,True,9.850341646234963,-23.970182199672195,0.0,4.776281682874,0.0,-9.343558870563232,1951.4642396483807
wind,IND,2012,0.13651637298561964,1727.3567208366633,1380.1211221512224,401.07301554262176,347.2355986854409,1781.1941376938441,261.36127,0.8334319771249964,0.177335392834262,0.0,excluded_for_wind,False,24.656034823275746,0.4506886896711813,0.0,3.527565832988309,0.0,28.634289345935237,1809.8284270397794
wind,IND,2013,0.13651637298561964,1775.4884766427886,1360.769366159615,409.10373957543004,414.7191104831736,1769.873105735045,292.27612,0.7998293873615128,0.177335392834262,0.0,excluded_for_wind,False,16.255435492249173,-41.692493709199596,0.0,6.64477376517331,0.0,-18.792284451777114,1751.080821283268
