variable,value
"pkl[6,9]",1.707303802693431
"pkl[7,9]",1.5159142600752133
"pkl[8,9]",1.4837424460337318
"pkl[9,9]",1.6351526076811123
"pkl[10,9]",1.8733641384264346
"pkl[11,9]",1.4351050866174972
"pkl[13,9]",1.7001122498024088
"pkl[14,9]",1.9453710874238517
"pkl[15,9]",1.8265890360408767
"pkl[1,10]",1.6167904673035067
"pkl[2,10]",1.6513891312026059
"pkl[3,10]",1.686322468373191
"pkl[4,10]",1.690417258890537
"pkl[5,10]",1.8996487923179808
"pkl[6,10]",1.7381231462639946
"pkl[7,10]",1.6785693206846732
"pkl[8,10]",1.6900652319422973
"pkl[9,10]",1.7704206711306154
"pkl[10,10]",1.818509241738307
"pkl[11,10]",1.665189628887099
"pkl[13,10]",1.835087468291891
"pkl[14,10]",1.8304265283709829
"pkl[15,10]",1.8530827011811748
"pkl[1,11]",1.443817695826455
"pkl[2,11]",1.4685616070897092
"pkl[3,11]",1.5032505581709787
"pkl[4,11]",1.5168781966909082
"pkl[5,11]",1.616175098051249
"pkl[6,11]",1.709463313059863
"pkl[7,11]",1.7577160175577662
"pkl[8,11]",1.7287774669945648
"pkl[9,11]",1.6398460561330803
"pkl[10,11]",1.6143423273212363
"pkl[11,11]",1.730655803476776
"pkl[13,11]",1.573017901849297
"pkl[14,11]",1.5936613641432502
"pkl[15,11]",1.5939068461165475
"pkl[1,12]",2.383312110048726
"pkl[2,12]",2.39238169722453
"pkl[3,12]",2.3826987351168727
"pkl[4,12]",2.4135017823993152
"pkl[5,12]",2.4464843882039036
"pkl[6,12]",2.4508847498164497
"pkl[7,12]",2.458251204307307
"pkl[8,12]",2.4567192505233817
"pkl[9,12]",2.457159574490065
"pkl[10,12]",2.4491086726015783
"pkl[11,12]",2.4573253976436353
"pkl[13,12]",2.4488129496917583
"pkl[14,12]",2.44858990343847
"pkl[15,12]",2.447786751011728
"pkl[1,13]",1.91610953187613
"pkl[2,13]",1.8766056447140382
"pkl[3,13]",1.5067030015727738
"pkl[4,13]",1.790990880519164
"pkl[5,13]",1.976155735151785
"pkl[6,13]",2.3610754929238187
"pkl[7,13]",1.7282524245477686
"pkl[8,13]",1.7501215045664318
"pkl[9,13]",1.939363976185531
"pkl[10,13]",2.1434428955615306
"pkl[11,13]",1.9211350326819734
"pkl[13,13]",2.192065516575956
"pkl[14,13]",2.1068398048094625
"pkl[15,13]",2.1334574052344144
"pkl[1,14]",2.3648815000302985
"pkl[2,14]",2.2538102635495467
"pkl[3,14]",2.315440200861189
"pkl[4,14]",2.1965707243417825
"pkl[5,14]",2.259280242558083
"pkl[6,14]",2.5595559566481962
"pkl[7,14]",1.866270160257829
"pkl[8,14]",1.8979956606205395
"pkl[9,14]",1.994804439247128
"pkl[10,14]",2.188950660579314
"pkl[11,14]",2.077560127275133
"pkl[13,14]",2.376847214810636
"pkl[14,14]",2.1765187203499816
"pkl[15,14]",2.149741270489881
"pkl[1,15]",1.979553508916512
"pkl[2,15]",1.9619950917857931
"pkl[3,15]",1.848776234794122
"pkl[4,15]",1.9407674359848976
"pkl[5,15]",1.9616771337744576
"pkl[6,15]",1.9285432399515512
"pkl[7,15]",1.716980425472988
"pkl[8,15]",1.8748026545988372
"pkl[9,15]",1.9538626251330513
"pkl[10,15]",1.9729734974020443
"pkl[11,15]",1.7556951183423155
"pkl[13,15]",2.078848174329682
"pkl[14,15]",1.9424013072424176
"pkl[15,15]",1.935822819586182
"pkl[1,16]",0.43570564506496706
"pkl[2,16]",0.4431945436776242
"pkl[3,16]",0.45062265114150124
"pkl[4,16]",0.4514132023498577
"pkl[5,16]",0.4117888124811595
"pkl[6,16]",0.42020258611715067
"pkl[7,16]",0.3776637237120446
"pkl[8,16]",0.3787230549542302
"pkl[9,16]",0.4371224731491874
"pkl[10,16]",0.423499284541271
"pkl[11,16]",0.3871537458711114
"pkl[13,16]",0.4495937994762944
"pkl[14,16]",0.4261965957748128
"pkl[15,16]",0.42881045502264376
"pkl[1,17]",0.7044399657418453
"pkl[2,17]",0.7006444309717375
"pkl[3,17]",0.7018351791258631
"pkl[4,17]",0.697139142918218
"pkl[5,17]",0.6954816343218687
"pkl[6,17]",0.6599819090408747
"pkl[7,17]",0.7658147436480199
"pkl[8,17]",0.7629935039904178
"pkl[9,17]",0.7374715063889746
"pkl[10,17]",0.7103903331501554
"pkl[11,17]",0.7385718593829345
"pkl[13,17]",0.7008874261257079
